layer,cka_pretrained_vs_trained,representation_drift,grad_norm_mean,trainable
0,0.48380371928215027,0.5161962807178497,0.003830973307291667,False
1,0.2852272391319275,0.7147727608680725,0.0016592555575900606,False
2,0.33570653200149536,0.6642934679985046,0.0007236573431226943,False
3,0.3059791922569275,0.6940208077430725,0.000497640503777398,False
4,0.25245654582977295,0.747543454170227,0.000374142328898112,False
5,0.2675694227218628,0.7324305772781372,0.00030461549758911135,False
6,0.25232991576194763,0.7476700842380524,0.00025214155515034995,False
7,0.2741360068321228,0.7258639931678772,0.00019500818517473008,False
8,0.27136868238449097,0.728631317615509,0.0,True
9,0.22753168642520905,0.772468313574791,0.0,True
10,0.23261217772960663,0.7673878222703934,0.0,True
11,0.21579615771770477,0.7842038422822952,0.0,True
12,0.21092216670513153,0.7890778332948685,0.0,True
13,0.20708228647708893,0.7929177135229111,0.0,True
14,0.2061251401901245,0.7938748598098755,0.0,True
15,0.19171185791492462,0.8082881420850754,0.0,True
