failed,seed,loss,intent_acc,intent_micro_f1,intent_micro_precision,intent_micro_recall,intent_macro_f1,intent_threshold_used,slot_precision,slot_recall,slot_f1,mean_intent_slot,mean_f1,semantic_acc,mean_exit_layer,std_exit_layer,pct_full_pass,layer_savings_pct,balanced_score,train_wall_time_sec,peak_gpu_mem_MB,num_unfrozen_layers,num_layers,est_train_flops_per_sample,est_inference_flops_per_sample,experiment,intent_loss_fn,unfrozen_ratio,min_unfrozen_ratio_floor,ee_patience_decay,exit_logit_smoothing,use_freq_exit,require_joint_stability,min_exit_layer,ee_patience
False,42,0.013466739630216537,0.9996000799840032,0.9998950682056663,0.9998950682056663,0.9998950682056663,0.7776960660329397,0.7,0.96788675429727,0.975620693872559,0.9717383359727129,0.985669207978358,0.9858167020891896,0.8574285142971406,15.0,0.0,1.0,0.0,0.7178199023769265,7318.365739613306,10491.00341796875,12,16,161061273600.0,161061273600.0,B0_full_depth,bce,0.7566455605042577,0.0,0.0,True,False,False,15.0,1000000.0
False,43,0.013472650708748212,0.9998000399920016,0.9999475313500183,1.0,0.9998950682056663,0.77773605374056,0.44999999999999996,0.9681415212727199,0.9750091728158506,0.971563210919727,0.9856816254558642,0.9857553711348727,0.857628474305139,15.0,0.0,1.0,0.0,0.7179045496423464,7307.5094251269475,10496.75537109375,12,16,161061273600.0,161061273600.0,B0_full_depth,bce,0.7566455605042577,0.0,0.0,True,False,False,15.0,1000000.0
False,44,0.013927455401619354,0.9992001599680064,0.9997376842767955,0.9996852376455776,0.9997901364113326,0.7775736527317514,0.2,0.9685944392731394,0.9757022300134535,0.9721353426215524,0.9856677512947793,0.985936513449174,0.858628274345131,15.0,0.0,1.0,0.0,0.7179698312217216,7285.200599401724,10491.50244140625,12,16,161061273600.0,161061273600.0,B0_full_depth,bce,0.7566455605042577,0.0,0.0,True,False,False,15.0,1000000.0
False,42,0.01322735248742303,0.9998000399920016,0.9999475368553591,0.9998950792151925,1.0,0.7777359909740504,0.1,0.9689536531066586,0.9759060703656895,0.9724174351058212,0.9861087375489115,0.9861824859805901,0.860627874425115,8.000200271606445,0.014140721410512924,0.0,0.466653315226237,0.8352745371843302,7131.9922117232345,10491.00341796875,12,16,161061273600.0,90596966400.0,B1_confidence_exit,bce,0.7566455605042577,0.0,0.0,True,False,False,4.0,1.0
False,43,0.013215773064534727,0.9996000799840032,0.9998950682056663,0.9998950682056663,0.9998950682056663,0.7776942669368325,0.49999999999999994,0.9680080889787664,0.9757429980839006,0.9718601534900718,0.9857301167370376,0.9858776108478691,0.856628674265147,8.000800132751465,0.04471420496702194,0.0,0.46661332448323567,0.8343284926810065,7339.888450623956,10496.75537109375,12,16,161061273600.0,90596966400.0,B1_confidence_exit,bce,0.7566455605042577,0.0,0.0,True,False,False,4.0,1.0
False,44,0.013547916794801093,0.9986002799440112,0.9995803608896349,0.9993706733794839,0.9997901364113326,0.7774514911493515,0.1,0.9683644160362475,0.9758653022952424,0.9721003898635477,0.9853503349037795,0.9858403753765913,0.8584283143371326,8.000399589538574,0.019996000453829765,0.0,0.46664002736409504,0.8343858475358015,7478.71171914693,10491.50244140625,12,16,161061273600.0,90596966400.0,B1_confidence_exit,bce,0.7566455605042577,0.0,0.0,True,False,False,4.0,1.0
False,42,0.013177572759899524,0.9998000399920016,0.9999475368553591,0.9998950792151925,1.0,0.7777359909740504,0.05,0.968795531811559,0.9758653022952424,0.9723175660580458,0.9860588030250237,0.9861325514567024,0.859628074385123,9.001599311828613,0.06631319969892502,0.0,0.39989337921142576,0.8183721095416572,7227.611706566066,10491.00341796875,12,16,161061273600.0,100663296000.0,B2_deebert_style,bce,0.7566455605042577,0.0,0.0,True,False,False,4.0,2.0
False,43,0.013215402380506412,0.9998000399920016,0.9999475313500183,1.0,0.9998950682056663,0.77773605374056,0.9,0.9683554548397539,0.9755799258021118,0.9719542657541479,0.9858771528730748,0.9859508985520831,0.8570285942811438,9.000800132751465,0.04471420496702194,0.0,0.399946657816569,0.8178201199459922,7170.791516229976,10496.75537109375,12,16,161061273600.0,100663296000.0,B2_deebert_style,bce,0.7566455605042577,0.0,0.0,True,False,False,4.0,2.0
False,44,0.013586851818197498,0.9986002799440112,0.9995803608896349,0.9993706733794839,0.9997901364113326,0.7774514911493515,0.1,0.9684466019417476,0.975987606506584,0.9722024812686552,0.9854013806063332,0.985891421079145,0.8584283143371326,9.000999450683594,0.04689349979162216,0.0,0.3999333699544271,0.8177219446090229,7101.373134496156,10491.50244140625,12,16,161061273600.0,100663296000.0,B2_deebert_style,bce,0.7566455605042577,0.0,0.0,True,False,False,4.0,2.0
False,42,0.013177572759899524,0.9998000399920016,0.9999475368553591,0.9998950792151925,1.0,0.7777359909740504,0.05,0.968795531811559,0.9758653022952424,0.9723175660580458,0.9860588030250237,0.9861325514567024,0.859628074385123,9.001599311828613,0.06631319969892502,0.0,0.39989337921142576,0.8183721095416572,7106.2266461090185,10491.00341796875,12,16,161061273600.0,100663296000.0,B3_pabee,bce,0.7566455605042577,0.0,0.07697990982879299,True,False,False,4.0,
False,43,0.013215402380506412,0.9998000399920016,0.9999475313500183,1.0,0.9998950682056663,0.77773605374056,0.9,0.9683554548397539,0.9755799258021118,0.9719542657541479,0.9858771528730748,0.9859508985520831,0.8570285942811438,9.000800132751465,0.04471420496702194,0.0,0.399946657816569,0.8178201199459922,7106.136240110267,10496.75537109375,12,16,161061273600.0,100663296000.0,B3_pabee,bce,0.7566455605042577,0.0,0.07697990982879299,True,False,False,4.0,
