param,value,score,failed
unfrozen_ratio,0.1,0.9795750087189725,False
unfrozen_ratio,0.3,0.9801690520539517,False
unfrozen_ratio,0.5,0.9803119338410469,False
unfrozen_ratio,0.7,0.9799176164540517,False
unfrozen_ratio,0.9,0.9795556281869913,False
unfrozen_ratio,1.0,0.9793429133104126,False
learning_rate,0.0001,0.9767923025960467,False
learning_rate,0.0003,0.9792256326580768,False
learning_rate,0.001,0.9808015478979839,False
learning_rate,0.003,0.9803408931135755,False
learning_rate,0.01,0.9790972817773671,False
ee_patience,1.0,0.9803126054937297,False
ee_patience,2.0,0.9800991421826316,False
ee_patience,3.0,0.9798560392203608,False
ee_patience,4.0,0.9798560392203608,False
ee_patience,5.0,0.9798560392203608,False
ee_patience,6.0,0.9798560392203608,False
tau_slot,0.02,0.9798560392203608,False
tau_slot,0.05,0.980178064279271,False
tau_slot,0.1,0.9802453348865003,False
tau_slot,0.15,0.9802453348865003,False
tau_slot,0.2,0.9802453348865003,False
tau_slot,0.3,0.9802453348865003,False
intent_exit_margin,0.05,0.9800991421826316,False
intent_exit_margin,0.1,0.9800991421826316,False
intent_exit_margin,0.15,0.9800991421826316,False
intent_exit_margin,0.2,0.9800991421826316,False
intent_exit_margin,0.3,0.9800991421826316,False
loss_coef_intent,0.3,0.9800803030053209,False
loss_coef_intent,0.4,0.9805590482354392,False
loss_coef_intent,0.5,0.979909421884178,False
loss_coef_intent,0.6,0.9800673183775562,False
loss_coef_intent,0.7,0.9794906394275971,False
dropout_rate,0.05,0.9800835761681208,False
dropout_rate,0.1,0.9798786869003743,False
dropout_rate,0.2,0.9799380702119527,False
dropout_rate,0.3,0.9796619457371996,False
dropout_rate,0.4,0.9794464001161802,False
weight_decay,1e-05,0.9800991421826316,False
weight_decay,0.0001,0.9800991421826316,False
weight_decay,0.001,0.9800991421826316,False
weight_decay,0.01,0.9800991421826316,False
weight_decay,0.1,0.9800991421826316,False
min_exit_layer,4.0,0.9802901819579866,False
min_exit_layer,6.0,0.9802901819579866,False
min_exit_layer,8.0,0.9802901819579866,False
min_exit_layer,11.0,0.9801547637949175,False
min_exit_layer,13.0,0.9800991421826316,False
min_exit_layer,15.0,0.9798560392203608,False
backbone_learning_rate,1e-05,0.9522159153112636,False
backbone_learning_rate,3e-05,0.9792901449874747,False
backbone_learning_rate,0.0001,0.9806885100006417,False
backbone_learning_rate,0.0003,0.9741506780988248,False
backbone_learning_rate,0.001,0.9324487954358511,False
