layer,cka_pretrained_vs_trained,representation_drift,grad_norm_mean,trainable
0,0.5363767743110657,0.4636232256889343,0.023934682210286457,False
1,0.3417762219905853,0.6582237780094147,0.021854739718967016,False
2,0.36083728075027466,0.6391627192497253,0.01206101311577691,False
3,0.33753401041030884,0.6624659895896912,0.009697511461046008,False
4,0.2990536391735077,0.7009463608264923,0.00734803941514757,True
5,0.3140023946762085,0.6859976053237915,0.005338393317328559,True
6,0.33098912239074707,0.6690108776092529,0.004389995998806424,True
7,0.3468240797519684,0.6531759202480316,0.0033172395494249136,True
8,0.3741717040538788,0.6258282959461212,0.003279749552408854,True
9,0.37500375509262085,0.6249962449073792,0.0030577341715494794,True
10,0.32785364985466003,0.67214635014534,0.002415858374701606,True
11,0.32477042078971863,0.6752295792102814,0.0019057273864746093,True
12,0.3311257064342499,0.6688742935657501,0.0,True
13,0.3365793824195862,0.6634206175804138,0.0,True
14,0.3358748257160187,0.6641251742839813,0.0,True
15,0.3507574200630188,0.6492425799369812,0.0,True
