layer,cka_pretrained_vs_trained,representation_drift,grad_norm_mean,trainable
0,0.6402859091758728,0.3597140908241272,0.018122291564941405,False
1,0.14753690361976624,0.8524630963802338,0.007555568218231201,False
2,0.13622784614562988,0.8637721538543701,0.0068199396133422855,False
3,0.12279077619314194,0.8772092238068581,0.004337239265441895,False
4,0.15483930706977844,0.8451606929302216,0.0029324710369110106,False
5,0.16220669448375702,0.837793305516243,0.0025414049625396727,False
6,0.18224331736564636,0.8177566826343536,0.0015698234240214032,False
7,0.19271661341190338,0.8072833865880966,0.0017211467027664184,True
8,0.2252194732427597,0.7747805267572403,0.0011992196242014566,True
9,0.22446346282958984,0.7755365371704102,0.0010180920362472534,True
10,0.23571915924549103,0.764280840754509,0.0009327466289202373,True
11,0.22641873359680176,0.7735812664031982,0.0008537918329238892,True
12,0.24819941818714142,0.7518005818128586,0.0007076561450958252,True
13,0.23587025701999664,0.7641297429800034,0.0007259964942932129,True
14,0.25351622700691223,0.7464837729930878,0.0006552984317143758,True
15,0.24688594043254852,0.7531140595674515,0.0007586762309074402,True
16,0.24617908895015717,0.7538209110498428,0.0006903755168120066,True
17,0.24594613909721375,0.7540538609027863,0.000686380515495936,True
18,0.23340146243572235,0.7665985375642776,0.0005658912161986033,True
19,0.25153547525405884,0.7484645247459412,0.0006435111165046692,True
20,0.26300308108329773,0.7369969189167023,0.0006374751528104147,True
21,0.2910762429237366,0.7089237570762634,0.0,True
22,0.3542249798774719,0.6457750201225281,0.0,True
23,0.3798602819442749,0.6201397180557251,0.0,True
24,0.4073243737220764,0.5926756262779236,0.0,True
25,0.40928277373313904,0.590717226266861,0.0,True
26,0.41463804244995117,0.5853619575500488,0.0,True
27,0.2869490087032318,0.7130509912967682,0.0,True
