layer,cka_pretrained_vs_trained,representation_drift,grad_norm_mean,trainable
0,0.595143735408783,0.40485626459121704,0.01350106398264567,False
1,0.0971103236079216,0.9028896763920784,0.0076780557632446286,False
2,0.09495268762111664,0.9050473123788834,0.006025191148122151,False
3,0.12358897179365158,0.8764110282063484,0.004756112893422445,False
4,0.1781197488307953,0.8218802511692047,0.0038679659366607664,False
5,0.1891295462846756,0.8108704537153244,0.003513636191685995,False
6,0.2676529586315155,0.7323470413684845,0.002974879741668701,False
7,0.29123106598854065,0.7087689340114594,0.0027802030245463053,True
8,0.31820642948150635,0.6817935705184937,0.002236528197924296,True
9,0.3206927180290222,0.6793072819709778,0.001803105076154073,True
10,0.3181540369987488,0.6818459630012512,0.0017129053672154744,True
11,0.3268281817436218,0.6731718182563782,0.0015566468238830567,True
12,0.33952948451042175,0.6604705154895782,0.0012734582026799521,True
13,0.35821065306663513,0.6417893469333649,0.0013837993144989013,True
14,0.3758455216884613,0.6241544783115387,0.000957418978214264,True
15,0.3782023787498474,0.6217976212501526,0.0009983450174331665,True
16,0.3789295256137848,0.6210704743862152,0.0008605629205703736,True
17,0.38776394724845886,0.6122360527515411,0.0009856298565864563,True
18,0.3916378319263458,0.6083621680736542,0.0008879005908966064,True
19,0.38839319348335266,0.6116068065166473,0.0008825083573659262,True
20,0.38958725333213806,0.6104127466678619,0.00070725679397583,True
21,0.41976651549339294,0.5802334845066071,0.0,True
22,0.4674156606197357,0.5325843393802643,0.0,True
23,0.4898546636104584,0.5101453363895416,0.0,True
24,0.5092520713806152,0.49074792861938477,0.0,True
25,0.49372220039367676,0.5062777996063232,0.0,True
26,0.4884454905986786,0.5115545094013214,0.0,True
27,0.35472333431243896,0.645276665687561,0.0,True
